# Name		age	metallicity(Fe/H)	distance_modulus
Berkeley2	8.900	-0.59	16.08
Berkeley7	6.60	-0.25	14.53
Berkeley14	9.20	-1.20	15.31
Berkeley30	8.48	0.10	14.95
Berkeley58	8.400	0.09	14.55
Collinder74	9.11	0.05	13.18
Collinder272	7.227	-0.40	13.01
IC1590		6.540	-0.73	13.33
IC1805		6.822	0.08	13.93
IC2488		8.113	0.095	10.99
IC2714		8.542	-0.011	11.52
IC4651		9.057	0.077	10.10
King2		9.78	-0.32	14.76
King7		8.8	0.03	15.59
King10		7.446	0.09	16.17
NGC129		7.886	-0.46	12.75
NGC366		7.410	-0.55	15.15
NGC433		7.50	-0.68	14.50
NGC436		7.926	-0.77	13.82
NGC2567		8.469	0.00	11.52



#Berkeley4	7.080		14.53
#Berkeley8	9.500		14.82	
#Berkeley65	6.995		15.26
#Berkeley104	8.890		15.59
#Blanco1	7.796		7.18
#King1		9.300		13.56
#Mayor1		7.740		12.02
#NGC103		8.126	-0.85	13.66
#NGC637		6.980		13.64
#NGC1193	9.90		13.54
#NGC1502	7.051		11.92
